name,state,city,website,telephone,email,office_address,mailing_address
Andover,Connecticut,TRUE,http://andoverconnecticut.org/services-government/registrar-of-voters/,"(860) 742-0188, ext. 2",andoverdemreg@gmail.com;Andover.rep@gmail.com,"17 School Rd
Andover, CT 06232-1526",
Ansonia,Connecticut,TRUE,http://www.cityofansonia.com/content/2524/2616/default.aspx,(203) 736-5970,registrar@ansoniact.org,"253 Main St
Ansonia, CT 6401",
Ashford,Connecticut,TRUE,http://www.ashfordtownhall.org/government/admin-and-finance/registrar-of-voters/,(860) 487-4401,registrars@ashfordtownhall.org,"5 Town Hall Rd Rm 306
Ashford, CT 06278-1530",
Avon,Connecticut,TRUE,http://www.avonct.gov/registrar-of-voters,(860) 409-4350,rov@avonct.gov,"60 W Main St
Avon, CT 6001",
Barkhamsted,Connecticut,TRUE,http://barkhamsted.us/Departments/RegistrarsofVoters/tabid/95/Default.aspx,(860) 379-4695,registrars@barkhamsted.us,"67 Ripley Hill Rd
Barkhamsted, CT 6063",
Beacon Falls,Connecticut,TRUE,http://www.beaconfalls-ct.org/Pages/BeaconFallsCT_Voters/Index,(203) 720-1571,Registrars@townofbeaconfalls.com,"10 Maple Ave
Beacon Falls, CT 6403",
Berlin,Connecticut,TRUE,http://www.town.berlin.ct.us/department/?structureid=22,"(860) 828-7020, (860) 828-7021",cmiano@town.berlin.ct.us;swasik@town.berlin.ct.us,"240 Kensington Rd
Berlin, CT 6037",
Bethany,Connecticut,TRUE,http://www.bethany-ct.com/townoffices/t_RegistrarOfVoters.asp,203-393-2100 x1121,registrar@bethany-ct.com,"40 Peck Rd
Bethany, CT 6524",
Bethel,Connecticut,TRUE,http://www.bethel-ct.gov/content/117/7044/default.aspx,203-794-8516,beeblet@bethel-ct.gov;ryann@bethel-ct.gov,"1 School St
Bethel, CT 6801",
Bethlehem,Connecticut,TRUE,,"(203) 266-7510, ext. 207, (203) 266-7510, ext. 7",bethlehemregistrars@gmail.com,"36 Main St S
Bethlehem, CT 6751","PO BOX 160
Bethlehem, CT 6751"
Bloomfield,Connecticut,TRUE,http://bloomfieldct.org/Plugs/register-to-vote.aspx,860-533-1243,registrar_d@bloomfieldct.org;registrar_r@bloomfieldct.org,"800 Bloomfield Ave
Bloomfield, CT 06002-2460","PO BOX 337
Bloomfield, CT 6002"
Bolton,Connecticut,TRUE,http://www.bolton.govoffice.com/index.asp?Type=B_BASIC&SEC=%7BD8CB69CA-6057-4C88-B64F-C09B254CB41C%7D,(860) 533-1243,bolton.dem@gmail.com;Bolton.rep@gmail.com,"222 Bolton Center Rd
Bolton, CT 6043",
Bozrah,Connecticut,TRUE,http://townofbozrah.org/departments/registrar-of-voters,(860) 889-2689 x 209,rov@bozrahct.org,"1 River Road, Rm. 204
Bozrah, CT 6334",
Branford,Connecticut,TRUE,http://www.branford-ct.gov/Voter,203-483-3998,mburkard@branford-ct.gov;dhally@branford-ct.gov,"1019 Main St
Branford, CT 6405","PO BOX 150
Branford, CT 6405"
Bridgeport,Connecticut,TRUE,http://www.bridgeportct.gov/content/89019/89851/default.aspx,203-576-7281,Sandi.Ayala@bridgeportct.gov;linda.grace@bridgeport.gov,"999 Broad Street
Bridgeport, CT 6604",
Bridgewater,Connecticut,TRUE,http://www.bridgewatertownhall.org/Pages/BridgewaterCT_registrarofvoters/index,(860) 354-5102; 860-354-5901,rov@bridgewatertownhall.org,"44 Main St S
Bridgewater, CT 6752","PO Box 304
Bridgewater, CT 6752"
Bristol,Connecticut,TRUE,http://www.ci.bristol.ct.us/index.aspx?nid=253,(860) 584-6165,kevinmccauley@bristolct.gov;sharonkrawiecki@bristolct.gov,"111 N Main St
Bristol, CT 6010",
Brookfield,Connecticut,TRUE,http://www.brookfieldct.gov/Pages/BrookfieldCT_Registrar/index,(203) 775-7343,registrarofvoters@brookfleldct.gov;ddori@brookfieldct.gov,"100 Pocono Rd
Brookfield, CT 6804","PO BOX 5106
Brookfield, CT 6804"
Brooklyn,Connecticut,TRUE,http://www.brooklynct.org/registrar-of-voters,"(860) 779-3411, opt. 4",hackedemail@brooklynct.org;j.gerardi-voccio@brooklynct.org,"Town Hall, 4 Wolf Den Road
Brooklyn, CT 6234","PO Box 356
Brooklyn, CT 6234"
