name,state,city,office_address,telephone,email
Abington,Massachusetts,TRUE,"500 GLINIEWICZ WAY
ABINGTON MA 02351",781-982-2112,lmadams@abingtonma.gov
Acton,Massachusetts,TRUE,472 MAIN STREET 01720,978-929-6620,clerk@acton-ma.gov
Acushnet,Massachusetts,TRUE,130 MAIN STREET 02743,508-998-0215,plabonte@acushnet.ma.us
Adams,Massachusetts,TRUE,8 PARK ST 01220,413-743-8300,hmeczywor@town.adams.ma.us
Agawam,Massachusetts,TRUE,36 MAIN STREET 01001,413-786-0400,clerk@agawam.ma.us
Alford,Massachusetts,TRUE,5 ALFORD CENTER RD 01230,413-528-4536,clerk@townofalford.org
Amesbury,Massachusetts,TRUE,"62 FRIEND ST.
CITY HALL 01913",978-388-8100,dixonc@amesburyma.gov
Amherst,Massachusetts,TRUE,"TOWN HALL
4 BOLTWOOD AVE 01002",413-259-3109,martins@amherstma.gov
Andover,Massachusetts,TRUE,"TOWN OFFICES
36 BARTLET STREET 01810",978-623-8230,townclerk@andoverma.us
Aquinnah,Massachusetts,TRUE,"955 STATE RD
AQUINNAH MA 02535",508-645-2304,townclerk@aquinnah-ma.gov
Arlington,Massachusetts,TRUE,"730 MASS. AVE.
ARLINGTON 02476",781-316-3070,slucarelli@town.arlington.ma.us
Ashburnham,Massachusetts,TRUE,"32 MAIN ST
ASHBURNHAM, MA 01430",978-827-4102,townclerk@ashburnham-ma.gov
Ashby,Massachusetts,TRUE,895 MAIN ST 01431,978-386-2424,tclerk@ashbyma.gov
Ashfield,Massachusetts,TRUE,"412 MAIN STREET
PO BOX 560 01330",413-628-4441,townclerk@ashfield.org
Ashland,Massachusetts,TRUE,"101 MAIN ST
TOWN HALL 01721",508-881-0100,tward@ashlandmass.com
Athol,Massachusetts,TRUE,"584 MAIN STREET
ATHOL MA 01331",978-249-4551,townclerk@townofathol.org
Attleboro,Massachusetts,TRUE,"77 PARK ST
ATTLEBORO, MA 02703",508-223-2222,elections@cityofattleboro.us
Auburn,Massachusetts,TRUE,104 CENTRAL ST 01501,508-832-7701,dgremo@town.auburn.ma.us
Avon,Massachusetts,TRUE,"65 EAST MAIN ST
BUCKLEY CENTER 02322",508-588-0414,pbessette@avon-ma.gov
Ayer,Massachusetts,TRUE,1 MAIN ST 01432,978-772-8215,scopeland@ayer.ma.us
Barnstable,Massachusetts,TRUE,"367 MAIN ST
HYANNIS, MA 02601",508-862-4044,ann.quirk@town.barnstable.ma.us
Barre,Massachusetts,TRUE,"40 WEST ST
PO BOX 418 01005",978-355-5003,clerk@townofbarre.com
Becket,Massachusetts,TRUE,"557 MAIN ST
BECKET 01223",413-623-8934,townclerk@townofbecket.org
Bedford,Massachusetts,TRUE,"10 MUDGE WAY
BEDFORD, MA 01730",781-275-0083,clerk@bedfordma.gov
Belchertown,Massachusetts,TRUE,"2 JABISH ST, RM 201
P.O. BOX 629 01007",413-323-0281,clerk@belchertown.org
Bellingham,Massachusetts,TRUE,"10 MECHANIC ST
BELLINGHAM, MA 02019",508-657-2830,lsposato@bellinghamma.org
Belmont,Massachusetts,TRUE,455 CONCORD AVE 02478,617-993-2600,ecushman@belmont-ma.gov
Berkley,Massachusetts,TRUE,1 NORTH MAIN ST 02779,508-822-3348,townclerk@berkleyma.us
Berlin,Massachusetts,TRUE,23 LINDEN ST. #8 01503,978-838-2931,townclerk@townofberlin.com
Bernardston,Massachusetts,TRUE,"P.O.BOX 504
BERNARDSTON 01337",413-648-5408,townclerk@townofbernardston.org
Beverly,Massachusetts,TRUE,191 CABOT ST 01915-5849,978-605-2326,wslate@beverlyma.gov
Billerica,Massachusetts,TRUE,365 BOSTON RD 01821,978-671-0926,sschult@town.billerica.ma.us
Blackstone,Massachusetts,TRUE,"15 ST. PAUL ST.
BLACKSTONE, MA 01504",508-883-1500,tsullivan@townofblackstone.org
Blandford,Massachusetts,TRUE,P O BOX 33 01008,413-848-4279,townclerk@townofblandford.com
Bolton,Massachusetts,TRUE,"P.O.BOX 278
663 MAIN ST. 01740",978-779-2771,townclerk@townofbolton.com
Boston,Massachusetts,TRUE,"ONE CITY HALL SQUARE
ROOM 241 02201",617-635-3767,election@boston.gov
Bourne,Massachusetts,TRUE,"24 PERRY AVENUE
BUZZARDS BAY MA 02532",508-759-0600,wchapman@townofbourne.com
Boxborough,Massachusetts,TRUE,29 MIDDLE RD 01719,978-264-1727,emarkiewicz@boxborough-ma.gov
Boxford,Massachusetts,TRUE,7A SPOFFORD RD 01921,978-887-6000,rphelan@town.boxford.ma.us
Boylston,Massachusetts,TRUE,"221 MAIN ST
BOYLSTON TOWN HALL 01505",508-869-2234,ljohnson@BOYLSTON-MA.GOV
Braintree,Massachusetts,TRUE,1 J.F.K. MEMORIAL DR 02184,781-794-8240,jmcasey@braintreema.gov
Brewster,Massachusetts,TRUE,"2198 MAIN ST
BREWSTER, MA 02631",508-896-4506,cwilliams@brewster-ma.gov
Bridgewater,Massachusetts,TRUE,"66 CENTRAL SQUARE
BRIDGEWATER 02324",508-697-0921,townclerk@bridgewaterma.org
Brimfield,Massachusetts,TRUE,"PO BOX 508 BRIMFIELD
TOWN HALL 01010",413-245-4100,TownClerk@BrimfieldMA.org
Brockton,Massachusetts,TRUE,45 SCHOOL ST 02301,508-580-7117,elections@cobma.us
Brookfield,Massachusetts,TRUE,6 CENTRAL STREET 01506,508-867-2930,mseery@brookfieldma.us
Brookline,Massachusetts,TRUE,333 WASHINGTON ST 02445,617-730-2010,pward@brooklinema.gov
Buckland,Massachusetts,TRUE,"PO BOX 159
BUCKLAND MA 01338",413-625-6330,twnclerk@town.buckland.ma.us
Burlington,Massachusetts,TRUE,29 CENTER STREET 01803,781-270-1660,clerk@burlington.org
Cambridge,Massachusetts,TRUE,"51 INMAN ST
FIRST FLOOR 02139",617-349-4361,elections2@cambridgema.gov
Canton,Massachusetts,TRUE,801 WASHINGTON ST 02021,781-821-5013,tkenney@town.canton.ma.us
Carlisle,Massachusetts,TRUE,66 WESTFORD STREET 01741,978-369-6155,townclerk@carlislema.gov
Carver,Massachusetts,TRUE,108 MAIN ST 02330,508-866-3403,cara.dahill@carverma.org
Charlemont,Massachusetts,TRUE,"157 MAIN ST, BOX 605
CHARLEMONT 01339",413-339-4335,KATHY.REYNOLDS@TOWNOFCHARLEMONT.ORG
Charlton,Massachusetts,TRUE,"37 MAIN ST
CHARLTON 01507",508-248-2249,karen.lacroix@townofcharlton.net
Chatham,Massachusetts,TRUE,"549 MAIN STREET
CHATHAM MA 02633",508-945-5101,jsmith@chatham-ma.gov
Chelmsford,Massachusetts,TRUE,50 BILLERICA RD 01824,978-250-5205,townclerk@townofchelmsford.us
Chelsea,Massachusetts,TRUE,"500 BROADWAY
CHELSEA, MA 02150",617-466-4050,jcwhite@chelseama.gov
