name,state,city,office_address,telephone,email
Acworth,New Hampshire,TRUE,PO BOX 37 ACWORTH 03601,(603) 835-6879,atclerk@sover.net
Albany,New Hampshire,TRUE,1972 NH ROUTE 16 ALBANY 03818,(603) 447-2877,townclerk@albanynh.org
Alexandria,New Hampshire,TRUE,47 WASHBURN ROAD ALEXANDRIA 03222,(603) 744-3288,alextctxcoll@metrocast.net
Allenstown,New Hampshire,TRUE,16 SCHOOL STREET ALLENSTOWN 03275,(603) 485-4276,kpelissier@allenstownnh.gov
Alstead,New Hampshire,TRUE,PO BOX 65 ALSTEAD 03602,(603) 835-2242,alsteadtownclerk@comcast.net
Alton,New Hampshire,TRUE,PO BOX 637 ALTON 03809,(603) 875-2101,townclerk@alton.nh.gov
Amherst,New Hampshire,TRUE,2 MAIN ST AMHERST 03031,(603) 673-6041,ndemers@amherstnh.gov
Andover,New Hampshire,TRUE,PO BOX 361 ANDOVER 03216,(603) 735-5018,tctc@andover-nh.gov
Antrim,New Hampshire,TRUE,PO BOX 517 ANTRIM 03440,(603) 588-6785,antrimatc@tds.net
Ashland,New Hampshire,TRUE,PO BOX 517 ASHLAND 03217,(603) 968-4432,ptucker@ashland.nh.gov
Atkinson,New Hampshire,TRUE,21 ACADEMY AVE ATKINSON 03811,(603) 362-4920,townclerk@atkinson-nh.gov
At. & Gil. Ac. Gt.,New Hampshire,TRUE,17 BRIDGE ST COLEBROOK 03576,(603) 237-5200,townclerk@colebrooknh.org
Auburn,New Hampshire,TRUE,PO BOX 309 AUBURN 03032,(603) 483-2281,townclerk@townofauburnnh.com
Barnstead,New Hampshire,TRUE,PO BOX 11 CTR BARNSTEAD 03225,(603) 269-4631,taxclerk@barnstead.org
Barrington,New Hampshire,TRUE,PO BOX 660 BARRINGTON 03825,(603) 664-5476,kkerekes@barrington.nh.gov
Bartlett,New Hampshire,TRUE,56 TOWN HALL ROAD INTERVALE 03845,(603) 356-2300,townclerk@townofbartlettnh.org
Bath,New Hampshire,TRUE,PO BOX 88 BATH 03740,(603) 747-2454,bathnh@myfairpoint.net
Bean's Grant,New Hampshire,TRUE,20 PARK ST GORHAM 03581,(603) 466-2744,cporter@gorhamnh.org
Bean's Purchase,New Hampshire,TRUE,74 VILLAGE RD SHELBURNE 03581,(603) 466-2262,shelburntctx@gmail.com
Bedford,New Hampshire,TRUE,24 NORTH AMHERST RD BEDFORD 03110,(603) 472-3550,skellar@bedfordnh.org
Belmont,New Hampshire,TRUE,PO BOX 310 BELMONT 03220,(603) 267-8300,tctc@belmontnh.org
Bennington,New Hampshire,TRUE,7 SCHOOL STREET BENNINGTON 03444,(603) 588-2189,townclerk@townofbennington.com
Benton,New Hampshire,TRUE,110 FLANDERS ROAD BENTON 03785,(603) 787-6541,mstiebitz@att.net
Berlin,New Hampshire,TRUE,168 MAIN STREET BERLIN 03570,(603) 752-2340,sfortin@berlinnh.gov
Bethlehem,New Hampshire,TRUE,PO BOX 185 BETHLEHEM 03574,(603) 869-2293,townclerk@bethlehemnh.org
Boscawen,New Hampshire,TRUE,116 N MAIN STREET BOSCAWEN 03303,(603) 753-9188,nhoyt@townofboscawen.org
Bow,New Hampshire,TRUE,10 GRANDVIEW ROAD BOW 03304,(603) 223-3980,mnaik@bownh.gov
Bradford,New Hampshire,TRUE,PO BOX 607 BRADFORD 03221,(603) 938-2288,tc@bradfordnh.org
Brentwood,New Hampshire,TRUE,1 DALTON ROAD BRENTWOOD 03833,(603) 642-6400,townclerk@brentwoodnh.gov
Bridgewater,New Hampshire,TRUE,PO BOX 419 PLYMOUTH 03264,(603) 968-7911,bridgewatertownclerk1@gmail.com
Bristol,New Hampshire,TRUE,5 SCHOOL ST BRISTOL 03222,(603) 744-3354,rsimpson@townofbristolnh.org
Brookfield,New Hampshire,TRUE,2 PINEY RD. PO BOX 756 BROOKFIELD 03872,(603) 522-3688,brookfieldnhtc@hotmail.com
Brookline,New Hampshire,TRUE,PO BOX 336 BROOKLINE 03033,(603) 673-8855,patti@brookline.nh.us
Cambridge,New Hampshire,TRUE,PO BOX 100 ERROL 03579,(603) 482-3351,erroltownclerk@gmail.com
Campton,New Hampshire,TRUE,10 GEARTY WAY CAMPTON 03223,(603) 726-3223,toc.hj@camptonnh.org
Canaan,New Hampshire,TRUE,PO BOX 38 CANAAN 03741,(603) 523-7106,vmcalister@canaannh.org
Candia,New Hampshire,TRUE,74 HIGH STREET CANDIA 03034,(603) 483-5573,cdupere@townofcandia.org
Canterbury,New Hampshire,TRUE,PO BOX 500 CANTERBURY 03224,(603) 783-0153,spapps@canterbury-nh.org
Carroll,New Hampshire,TRUE,PO BOX 88 TWIN MOUNTAIN 03595,(603) 846-5494,townclerk@townofcarroll.org
Center Harbor,New Hampshire,TRUE,PO BOX 140 CENTER HARBOR 03226,(603) 253-4561,chtownclerk@metrocast.net
Chandlers Purchase,New Hampshire,TRUE,20 PARK ST GORHAM 03581,(603) 446-2744,cporter@gorhamnh.org
Charlestown,New Hampshire,TRUE,P O BOX 834 CHARLESTOWN 03603,(603) 826-5821,patricia@charlestown-nh.gov
Chatham,New Hampshire,TRUE,1071 MAIN ROAD CHATHAM 03813,(603) 694-2117,townclerk@chathamnh.org
Chester,New Hampshire,TRUE,84 CHESTER STREET CHESTER 03036,(603) 887-3636,elufkin@chesternh.org
Chesterfield,New Hampshire,TRUE,PO BOX 64 CHESTERFIELD 03443,(603) 363-8071,chesterfieldtownclerk@yahoo.com
Chichester,New Hampshire,TRUE,54 MAIN STREET CHICHESTER 03258,(603) 798-5808,townclerk@chichesternh.org
Claremont,New Hampshire,TRUE,58 OPERA HOUSE SQ CLAREMONT 03743,(603) 542-7003,cityclerk@claremontnh.com
Clarksville,New Hampshire,TRUE,408 NH ROUTE 145 CLARKSVILLE 03592,(603) 246-7751,twnclark@yahoo.com
Colebrook,New Hampshire,TRUE,17 BRIDGE STREET COLEBROOK 03576,(603) 237-5200,townclerk@colebrooknh.org
Columbia,New Hampshire,TRUE,PO BOX 157 COLEBROOK 03576,(603) 237-5255,towncolumbia@myfairpoint.net
