name,state,city,office_address,mailing_address,telephone,email
Addison,Vermont,TRUE,"65 VT Route 17W
Addison, VT 05491",,802-759-2020,addisontown@gmavt.net
Albany,Vermont,TRUE,"827 Main Street
Albany, VT 05820","P.O. Box 284
Albany, VT 05820",802-755-6100,albanytct@gmail.com
Alburgh,Vermont,TRUE,"1 North Main Street
Alburgh, VT 05440",,802-796-3468,townofalburgh@fairpoint.net
Andover,Vermont,TRUE,"953 Weston-Andover Road
Andover, VT 05143",,802-875-2765,clerk@vermontel.net
Arlington,Vermont,TRUE,"3828 VT Route 7A
Arlington, VT 05250","P.O. Box 304
Arlington, VT 05250",802-375-2332,arltc@comcast.net
Athens,Vermont,TRUE,"56 Brookline Road
Athens, VT 05143",,802-869-3370,townofathens@hotmail.com
Bakersfield,Vermont,TRUE,"40 East Bakersfield Road
Bakersfield, VT 05441","P.O. Box 203
Bakersfield, VT 05441",802-827-4495,townclerk_bakersfield@comcast.net
Baltimore,Vermont,TRUE,"1902 Baltimore Road
Baltimore, VT 05143",,802-263-5274,baltimorevt@tds.net
Barnard,Vermont,TRUE,"115 North Road
Barnard, VT 05031-0274","P.O. Box 274
Barnard, VT 05031-0274",802-234-9211,barnardto@gmail.com
Barnet,Vermont,TRUE,"1743 US Route 5 South
Barnet, VT 05821","P.O. Box 15
Barnet, VT 05821",802-633-2256,townclerk@barnetvt.org
Barre City,Vermont,TRUE,"6 N. Main Street, Suite 6
Barre, VT 05641","P.O. Box 418
Barre, VT 05641",802-476-0242,cdawes@barrecity.org
Barre Town,Vermont,TRUE,"149 Websterville Road
Websterville, VT 05678","P.O. Box 124
Websterville, VT 05678",802-479-9391,dkelty@barretown.org
Barton,Vermont,TRUE,"34 Main Street
Barton, VT 05822",,802-525-6222,bartontown@comcast.net
Belvidere,Vermont,TRUE,"3996 VT RT 109
Belvidere, VT 05442",,802-644-6621,belvideretownclerk@gmail.com
Bennington,Vermont,TRUE,"205 South Street
Bennington, VT 05201",,802 442-1043,cbarbeau@benningtonvt.org
Benson,Vermont,TRUE,"2760 Stage Road
Benson, VT 05731","P.O. Box 163
Benson, VT 05731",802-537-2611,bensonclerk@myottmail.com
Berkshire,Vermont,TRUE,"4454 Watertower Road
Enosburg Falls, VT 05450",,802-933-2335,townclerk@berkshirevt.com
Berlin,Vermont,TRUE,"108 Shed Road
Berlin, VT 05602",,802-229-9298,townclerk@berlinvt.org
Bethel,Vermont,TRUE,"134 South Main Street
Bethel, VT 05032","P.O. Box 404
Bethel, VT 05032",802-234-9722,betheltownclerk@comcast.net
Bloomfield,Vermont,TRUE,"27 Schoolhouse Road
Bloomfield, VT 05905","P.O. Box 336
N Stratford, NH 03590",802-962-5191,townofbloomfieldvt@gmail.com
Bolton,Vermont,TRUE,"3045 Theodore Roosevelt Highway (US Route 2)
Bolton, Vermont 05676",,802-434-5075,clerkbolton@gmavt.net
Bradford,Vermont,TRUE,"172 North Main Street
Bradford, VT 05033","P.O. Box 339
Bradford, VT 05033",802 222-4727,clerk@bradford-vt.us
Braintree,Vermont,TRUE,"932 VT Route 12A
Braintree, VT 05060",,802-728-9787,braintreetownclerk@gmail.com
Brandon,Vermont,TRUE,"49 Center Street
Brandon, VT 05733",,802-247-3635,sgage@townofbrandon.com
Brattleboro,Vermont,TRUE,"230 Main Street, Suite 108
Brattleboro, VT 05301",,802-251-8157,hfrancis@brattleboro.org
Bridgewater,Vermont,TRUE,"7335 US RT 4
Bridgewater, VT 05034",,802-672-3334,twnbridg@comcast.net
Bridport,Vermont,TRUE,"82 Crown Point Road
Bridport, VT 05734","P.O. Box 27
Bridport, VT 05734",802-758-2483,bridporttown@gmavt.net
Brighton,Vermont,TRUE,"49 Mill Street Ext.
Island Pond, VT 05846","P.O. Box 377
Island Pond, VT 05846",802-723-4405,brightonclerk@comcast.net
Bristol,Vermont,TRUE,"1 South Street
Bristol, VT 05443","P.O. Box 249
Bristol, VT 05443",802-453-2410,clerk@bristolvt.org
Brookfield,Vermont,TRUE,"40 Ralph Road
Brookfield, VT 05036","P.O. Box 463
Brookfield, VT 05036",802-276-3352,townclerk@brookfieldvt.org
Brookline,Vermont,TRUE,"734 Grassy Brook Road
Brookline, VT 05345","P.O. Box 403
Brookline, VT 05345",802-365-4648,brook763@comcast.net
Brownington,Vermont,TRUE,"622 Schoolhouse Road
Brownington, VT 05860",,802-754-8401,browningtontc@comcast.net
Brunswick,Vermont,TRUE,"994 VT Route 102
Brunswick, VT 05905",,802-962-5514,townofbrunswick@gmail.com
Burke,Vermont,TRUE,"212 School St
West Burke, VT 05871",,802-467-3717,burke@burkevermont.org
Burlington,Vermont,TRUE,"149 Church Street
Burlington, VT 05401",,802-865-7000,burlingtontownclerk@burlingtonvt.gov
Cabot,Vermont,TRUE,"3084 Main Street
Cabot, VT 05647","P.O. Box 36
Cabot, VT 05647",802-563-2279,tcocabot@fairpoint.net
Calais,Vermont,TRUE,"3120 Pekin Brook Road
East Calais, VT 05650",,456-8720,calais.townclerk@gmail.com
Cambridge,Vermont,TRUE,"85 Church Street Suite 201
Jeffersonville, VT 05464","P.O. Box 127
Jeffersonville, VT 05464",802-644-2251,mark@cambridgevt.org
Canaan,Vermont,TRUE,"318 Christian Hill
Canaan, VT 05903","P.O. Box 159
Canaan, VT 05903",802-266-3370,nlabrecque@canaanschools.org
Castleton,Vermont,TRUE,"263 Route. 30 North
Castleton, VT 05735","P.O. Box 727
Castleton, VT 05735",802-468-5319 x201,casclerk@shoreham.net
Cavendish,Vermont,TRUE,"37 High St
Cavendish, VT 05142","P.O. Box 126
Cavendish, VT 05142",802-226-7291 or 802-226-7292,d.mcnamara@comcast.net
Charleston,Vermont,TRUE,"5063 VT Route 105
W Charleston, VT 05872",,802-895-2814,townofcharlestonvt@comcast.net
Charlotte,Vermont,TRUE,"159 Ferry Road
Charlotte, VT 05445","P.O. Box 119
Charlotte, VT 05445",802-425-3071,mary@townofcharlotte.com
Chelsea,Vermont,TRUE,"296 VT Route 110
Chelsea, VT 05038","P.O. Box 266
Chelsea, VT 05038",802-685-4460,town.clerk@chelseavt.us
Chester,Vermont,TRUE,"556 Elm Street
Chester, VT 05143","P.O. Box 370
Chester, VT 05143",802-875-2173,deborah.aldrich@chestervt.gov
Chittenden,Vermont,TRUE,"260 Chittenden Road
Chittenden, VT 05737","P.O. Box 89
Chittenden, VT 05737",802-483-6647,chittendenvt@comcast.net
Clarendon,Vermont,TRUE,"279 Middle Road
Clarendon, VT 05759","P.O. Box 30
Clarendon, VT 05759",802-775-4274,clarendonclerk@comcast.net
Colchester,Vermont,TRUE,"781 Blakely Road
Colchester, VT 05446",,802 264-5520,townclerk@colchestervt.gov
Concord,Vermont,TRUE,"374 Main Street
Concord, VT 05824","P.O. Box 317
Concord, VT 05824",802-695-2220,townclerk@conclerk.com
Corinth,Vermont,TRUE,"1387 Cookeville Road
Corinth, VT 05039","P.O. Box 461
Corinth, VT 05039",802-439-5850,corino@tops-tele.com
Cornwall,Vermont,TRUE,"2629 Route 30
Cornwall, VT 05753",,802-462-2775,cornwallvt@shoreham.net
Coventry,Vermont,TRUE,"168 Main Street
Coventry, VT 05825","P.O. Box 8
Coventry, VT 05825",802-754-2288,clerk@coventryvt.org
Craftsbury,Vermont,TRUE,"85 South Craftsbury Road
Craftsbury, VT 05826","P.O. Box 55
Craftsbury, VT 05826",802-586-2823,craftsbury@gmail.com
Danby,Vermont,TRUE,"130 Brook Road
Danby, VT 05739",,802-293-5136,danbytownclerk@vermontel.net
Danville,Vermont,TRUE,"36 Route 2 W
Danville, VT 05828-0183","P.O. Box 183
Danville, VT 05828-0183",802-684-3352,wsomers@danvillevermont.org
Derby,Vermont,TRUE,"124 Main St
Derby, VT 05829",,802-766-4906,derbytownclerk@derbyvt.org
Dorset,Vermont,TRUE,"112 Mad Tom Road
East Dorset, VT 05253","P.O. Box 24
East Dorset, VT 05253",802-362-1178 x 2,dorsetclerk@gmail.com
Dover,Vermont,TRUE,"102 Route 100
West Dover, VT 05356","P.O. Box 527
West Dover, VT 05356",802-464-5100 x 2,townclerk@doververmont.com
Dummerston,Vermont,TRUE,"1523 Middle Road
E. Dummerston, VT 05346",,802-257-1496,townclerk@dummerston.org
Duxbury,Vermont,TRUE,"5421 VT Route 100
Duxbury, VT 05676",,802-244-6660,duxtc@myfairpoint.net
